experiment,model,preprocess,sampling,class_weight,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,log_loss_mean,log_loss_std,log_loss_ci95_low,log_loss_ci95_high
extra_trees_balanced,extra_trees,raw_no_clip,none,balanced,0.8857595451765249,0.016924613736065065,0.8709244671482718,0.900594623204778,0.6131848737983319,0.04458721985090613,0.5741024524287051,0.6522672951679587,0.4897475282739152,0.026064218984506088,0.4669012330254351,0.5125938235223954,0.7337694993161634,0.03525231553150666,0.702869482350217,0.7646695162821099,0.368421052631579,0.028827503026587688,0.3431526321270788,0.39368947313607916,0.675374938584793,0.013746915536187551,0.6633252358378066,0.6874246413317795,0.07142902104044671,0.0028788080079218945,0.06890563456369214,0.07395240751720128,0.25552241050660507,0.007541692075996119,0.24891182593686392,0.2621329950763462
lightgbm_scale_pos_weight,lightgbm,raw_no_clip,none,scale_pos_weight,0.8477462614432824,0.022872640250046553,0.8276975083010736,0.8677950145854911,0.5676666440939282,0.055078802611773725,0.5193879449643144,0.615945343223542,0.46277537559798443,0.040316619755502756,0.4274363002586289,0.49811445093733997,0.7212383608474653,0.06787220978003931,0.6617457459057581,0.7807309757891725,0.3410526315789474,0.03122609889303437,0.31368174909854074,0.36842351405935403,0.6618290401179172,0.017071296808609297,0.646865388707692,0.6767926915281425,0.07563773679771346,0.006825468801821056,0.0696549496077965,0.08162052398763042,0.31481109265197155,0.03431871410766462,0.28472941341508484,0.34489277188885825
lightgbm_random_over,lightgbm,raw_no_clip,random_over,none,0.847674083284034,0.022099002882098717,0.8283034531937341,0.867044713374334,0.5667216168413778,0.04939789932094524,0.5234224489970667,0.6100207846856889,0.4536817898714299,0.03502892598162292,0.42297758247933265,0.4843859972635271,0.7277905195849448,0.0768633573524015,0.6604168163135642,0.7951642228563254,0.33052631578947367,0.02844053912864484,0.3055970840965838,0.3554555474823635,0.6569802468640643,0.0148234594672441,0.6439869117561198,0.6699735819720088,0.07641475582181304,0.005757090376706839,0.0713684436113219,0.08146106803230417,0.31424337141721387,0.030561441777348364,0.28745508658582913,0.3410316562485986
lightgbm_base,lightgbm,raw_no_clip,none,none,0.8469781472160112,0.02073272514414979,0.828805112365805,0.8651511820662173,0.5640404280762182,0.056433209840283105,0.514574538666796,0.6135063174856404,0.3944915734290485,0.044004513435812784,0.3559199167522107,0.4330632301058863,0.8298243933588761,0.06764995543445748,0.7705265929405751,0.8891221937771772,0.25894736842105265,0.0321009488041619,0.23080964618306077,0.28708509065904453,0.6260225506612789,0.01720021924866502,0.6109458937498561,0.6410992075727017,0.08002480991829201,0.005564502681071963,0.07514730826599617,0.08490231157058786,0.35382269060793836,0.03423130255218255,0.3238176309776418,0.3838277502382349
lightgbm_missing_indicator,lightgbm,median_indicator,none,none,0.8469781472160112,0.02073272514414979,0.828805112365805,0.8651511820662173,0.5640404280762182,0.056433209840283105,0.514574538666796,0.6135063174856404,0.3944915734290485,0.044004513435812784,0.3559199167522107,0.4330632301058863,0.8298243933588761,0.06764995543445748,0.7705265929405751,0.8891221937771772,0.25894736842105265,0.0321009488041619,0.23080964618306077,0.28708509065904453,0.6260225506612789,0.01720021924866502,0.6109458937498561,0.6410992075727017,0.08002480991829201,0.005564502681071963,0.07514730826599617,0.08490231157058786,0.35382269060793836,0.03423130255218255,0.3238176309776418,0.3838277502382349
lightgbm_clip_p01_p99,lightgbm,median_clip_p01_p99,none,none,0.8425041040398673,0.02394170992579746,0.8215182700103348,0.8634899380693998,0.5588115740142895,0.05923458869716734,0.5068901677714156,0.6107329802571634,0.375610015511581,0.05365123464024078,0.32858263488049205,0.42263739614267,0.8236693969730677,0.07867843675586929,0.7547047064568474,0.8926340874892881,0.2442105263157895,0.04103913408340616,0.2082381392448854,0.28018291338669354,0.6186543201211258,0.02103188689021519,0.6002190584387355,0.637089581803516,0.08070991683179303,0.005874846617246729,0.07556038672552207,0.085859446938064,0.35740707280051376,0.036537603497319104,0.32538045125977744,0.3894336943412501
lightgbm_smote,lightgbm,raw_no_clip,smote,none,0.8459943648414233,0.014286008799659456,0.8334721260145694,0.8585166036682772,0.5511883298867721,0.02261211622011629,0.5313679361253163,0.571008723648228,0.4537018905412424,0.02546397572536939,0.4313817317071048,0.47602204937537995,0.6499329412655281,0.032549086492125415,0.6214024090247784,0.6784634735062779,0.34947368421052627,0.029209340895813913,0.3238705680566925,0.37507680036436003,0.6623121897905365,0.013608098180374692,0.6503841658208194,0.6742402137602537,0.07686436168343533,0.002064385371185639,0.07505484812291825,0.0786738752439524,0.3015068809579675,0.016369832874564904,0.28715808979553503,0.3158556721204
random_forest_balanced,random_forest,raw_no_clip,none,balanced,0.8568600856303457,0.01575479454211859,0.8430503993357995,0.8706697719248918,0.5490565249677222,0.02160870290313212,0.530115661757698,0.5679973881777464,0.3011331854059797,0.04977424378672195,0.25750413709276304,0.3447622337191964,0.7940896171588391,0.07988530752156592,0.724067057774334,0.8641121765433442,0.18736842105263157,0.03896159057541421,0.15321708115768018,0.22151976094758297,0.5903715795489868,0.01858027974884039,0.5740852462737138,0.6066579128242597,0.07781009646809241,0.0013697815747119532,0.07660942997966241,0.0790107629565224,0.27575519589702757,0.004830845578040565,0.2715207730493168,0.2799896187447383
lightgbm_clip_iqr,lightgbm,median_clip_iqr,none,none,0.838267579789634,0.022954612211435025,0.8181469750552831,0.8583881845239848,0.5342774663329096,0.043554542829534505,0.49610022628256967,0.5724547063832496,0.34660289220465473,0.018521668781331498,0.3303679337075519,0.36283785070175756,0.756676245210728,0.045625622817287576,0.7166836235097215,0.7966688669117344,0.2252631578947369,0.015963948303266418,0.2112701402453416,0.23925617554413217,0.6078001824909005,0.007395521218622979,0.6013177223267383,0.6142826426550627,0.08289094831976065,0.0036285977546648422,0.07971034215272665,0.08607155448679465,0.36624448760126477,0.03178443162400821,0.33838420490417404,0.3941047702983555
xgboost_base,xgboost,raw_no_clip,none,none,0.8255091195315398,0.015370834064819603,0.8120359894343359,0.8389822496287438,0.5103878698712394,0.03656056901480549,0.4783411181668738,0.5424346215756051,0.34164054208171624,0.04708498420568078,0.300368733723581,0.38291235043985145,0.7638597742127154,0.07847059616269353,0.6950772640088665,0.8326422844165644,0.22105263157894733,0.03569647359539615,0.18976329290454513,0.25234197025334953,0.6059715434518855,0.01780663748948022,0.5903633375160333,0.6215797493877377,0.07802037596702575,0.003067542532316753,0.07533155638558196,0.08070919554846955,0.27326460568717603,0.011245270893125428,0.26340769115134416,0.2831215202230079
xgboost_scale_pos_weight,xgboost,raw_no_clip,none,scale_pos_weight,0.8244917748744122,0.019368290942455298,0.8075147193335254,0.841468830415299,0.5046326987152743,0.04091149945066866,0.46877218833268325,0.5404932090978654,0.4782811426246398,0.040055718428819186,0.4431707573812229,0.5133915278680566,0.48249609948386263,0.03832514396843442,0.44890262963679556,0.5160895693309298,0.4757894736842105,0.05231483637805969,0.4299334977779473,0.5216454495904737,0.7043485375660528,0.02584885708322091,0.6816910153471792,0.7270060597849263,0.09229867607355118,0.004449357774583467,0.08839864202899833,0.09619871011810402,0.3099205446390029,0.013177510749077649,0.2983699471938076,0.32147114208419825
lightgbm_random_under,lightgbm,raw_no_clip,random_under,none,0.8010292727436805,0.024782245872552018,0.7793066764724736,0.8227518690148874,0.38811101065588627,0.02113221149059638,0.36958781058399903,0.4066342107277735,0.38301104095004285,0.024331824519991156,0.36168325640187066,0.40433882549821504,0.257042884545425,0.016276670417404184,0.24277575387716016,0.27131001521368986,0.7515789473684211,0.05294642669456543,0.705169358140556,0.7979885365962862,0.733327290411206,0.027923433701819034,0.7088513216095955,0.7578032592128165,0.21014157279673706,0.004605598987210837,0.2061045872910341,0.21417855830244004,0.6976256921733774,0.015997390695501372,0.6836033609747341,0.7116480233720208
logistic_balanced,logistic,raw_no_clip,none,balanced,0.7222515406443334,0.026121971575774162,0.6993546230176321,0.7451484582710347,0.2617516373312791,0.04252555897007813,0.224476341401077,0.29902693326148116,0.319934756177126,0.02735300307305638,0.29595879186716106,0.343910720487091,0.21048998887870832,0.01875328932956517,0.19405200601959768,0.22692797173781895,0.6673684210526316,0.055997625592717405,0.6182843380703036,0.7164525040349596,0.669277656897053,0.03171026796594989,0.6414823815124666,0.6970729322816394,0.20983435306340598,0.007158346373599559,0.20355978581704576,0.2161089203097662,0.6046607129945121,0.017251306038926204,0.589539276537065,0.6197821494519592
dummy_prior,dummy,raw_no_clip,none,none,0.5,0.0,0.5,0.5,0.11593853301170376,7.747944096457641e-05,0.11587061928733641,0.1160064467360711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.10249679227709292,5.95125096181096e-05,0.10244462726242198,0.10254895729176386,0.35875393692876234,0.0001573909043245245,0.3586159777184073,0.3588918961391174
