,elapsed_hours,day,Amina Flow,% Silica Feed,% Iron Feed,dayofweek,Flotation Column 03 Air Flow,Flotation Column 01 Air Flow,Flotation Column 05 Level,Flotation Column 06 Level,hour,Ore Pulp pH,Flotation Column 02 Air Flow,Flotation Column 07 Level,month,Flotation Column 06 Level__std,Flotation Column 04 Air Flow,Flotation Column 04 Level,Flotation Column 02 Level,Flotation Column 03 Level,% Silica Concentrate,high_silica_risk
elapsed_hours,1.0,0.053726542520301665,0.06002369323868413,0.2197781910848963,-0.25987743145974096,-0.0022108650436787384,0.5951312386209354,0.5539939955819664,-0.027213863554312236,-0.031370757822788545,0.004462961414443308,0.049343198900257505,0.546930146212535,-0.06491284712461154,0.9843549690547635,0.03098683628327485,0.4402649372122681,0.013340498673754484,-0.30900915368792964,-0.2822043286167786,-0.10941283453141756,-0.03701942001629015
day,0.053726542520301665,1.0,-0.0032431590666885555,-0.09535022608502015,0.08841519442588605,-0.0094179927052708,0.08269254431665195,0.051793188564114405,0.018128800346904183,0.05516177084291879,0.0034996247378995967,-0.05887976433574324,0.13659888289433816,0.040409878080395166,-0.12288192829590193,0.08647497997720455,0.034795416594597735,0.043018422092741926,-0.12032183718303911,-0.07819849163647015,-0.038601326028291735,-0.0019715426518798606
Amina Flow,0.06002369323868413,-0.0032431590666885555,1.0,0.085842018932069,-0.0961030976735166,0.05461269066338197,0.11130626004444025,0.12184719866119713,-0.24275834677867658,-0.24484683470648244,-0.014381256897278377,0.134077600228055,0.1367984031921971,-0.1998788428753188,0.059932542351332926,0.0930912320065894,0.01828983468604657,-0.21359937152690114,-0.23572336080755518,-0.2900267179912907,0.17093805209385032,0.0609006645733186
% Silica Feed,0.2197781910848963,-0.09535022608502015,0.085842018932069,1.0,-0.9718334262339295,-0.0177163363204244,0.08475216780306806,0.09242419560869208,-0.04929844405825403,-0.023211577307824135,-0.0263663319609944,0.008208080877909363,0.18709757495512153,-0.05430932523099531,0.23479022376666076,0.14011487570255318,0.17054645858880638,-0.04081541878718784,-0.040832465003981876,-0.02468420366666858,0.07278007117637608,0.08068508950924537
% Iron Feed,-0.25987743145974096,0.08841519442588605,-0.0961030976735166,-0.9718334262339295,1.0,0.017290375652898014,-0.06261767089008154,-0.06283226500846237,0.026239596676919552,0.004395800022718057,0.013683922383534098,0.0076272257732352975,-0.17362917734948377,0.030098844188928435,-0.2732741578679145,-0.14874172297930582,-0.1456702688666497,0.019308750690203526,0.023017062042112287,0.016537598166191884,-0.07711249041747821,-0.075297011745769
dayofweek,-0.0022108650436787384,-0.0094179927052708,0.05461269066338197,-0.0177163363204244,0.017290375652898014,1.0,-0.007703272847203592,-0.011623482751030072,0.008077625420357505,-0.004170177984551917,-0.0010780454526558916,0.05479679890965133,0.004735607018553832,0.03919081742405416,-0.0007416588534676612,-0.09804882628409141,-0.0034373672280420446,0.014659123307947802,-0.05450722883933084,-0.046679023591156575,0.009046397065503475,0.0012092399237299512
Flotation Column 03 Air Flow,0.5951312386209354,0.08269254431665195,0.11130626004444025,0.08475216780306806,-0.06261767089008154,-0.007703272847203592,1.0,0.9599864291613576,-0.07264991927282197,-0.11947048877594686,-0.010165004713283705,0.19914598630223673,0.8791386711059241,-0.09964114523240683,0.5768665235067624,0.011851209295929553,0.5187195434240123,-0.05647846483800542,-0.46745436767532783,-0.3990814661375877,-0.22048047504710236,-0.13702459404105316
Flotation Column 01 Air Flow,0.5539939955819664,0.051793188564114405,0.12184719866119713,0.09242419560869208,-0.06283226500846237,-0.011623482751030072,0.9599864291613576,1.0,-0.10332937804056169,-0.1417035294179941,-0.005270657140510695,0.16824773626564188,0.8666026494758631,-0.1285205861382194,0.5412863107019746,0.025986933386310435,0.5028182634444843,-0.07438557916418884,-0.47203960425597463,-0.40681800331840756,-0.22086949662650512,-0.13552651530785068
Flotation Column 05 Level,-0.027213863554312236,0.018128800346904183,-0.24275834677867658,-0.04929844405825403,0.026239596676919552,0.008077625420357505,-0.07264991927282197,-0.10332937804056169,1.0,0.7157883430249712,0.025880698896173785,0.014026263254005739,-0.1283566629139942,0.836013319470405,-0.030190411474997438,-0.2163406099965643,-0.21856977006037753,0.7877829982733026,0.3182541153732001,0.38136783852536627,-0.19081992630859795,-0.10819391887616013
Flotation Column 06 Level,-0.031370757822788545,0.05516177084291879,-0.24484683470648244,-0.023211577307824135,0.004395800022718057,-0.004170177984551917,-0.11947048877594686,-0.1417035294179941,0.7157883430249712,1.0,0.015120099248530467,-0.09014860107369818,-0.14178573841798378,0.7453180060794388,-0.041385727363271375,-0.10103560279262802,-0.2688827848207752,0.6834720476649617,0.36230190698841686,0.38162060810227777,-0.12202154471488631,-0.06299600510337243
hour,0.004462961414443308,0.0034996247378995967,-0.014381256897278377,-0.0263663319609944,0.013683922383534098,-0.0010780454526558916,-0.010165004713283705,-0.005270657140510695,0.025880698896173785,0.015120099248530467,1.0,-0.010257253038375762,-0.012247180970957153,0.03028713481594445,-0.001900064460131164,-0.04563925774634385,0.0040870676926031135,0.026764877134272304,0.015183235906194262,0.02894351180360374,-0.0037027896190674056,-0.003514436688776344
Ore Pulp pH,0.049343198900257505,-0.05887976433574324,0.134077600228055,0.008208080877909363,0.0076272257732352975,0.05479679890965133,0.19914598630223673,0.16824773626564188,0.014026263254005739,-0.09014860107369818,-0.010257253038375762,1.0,0.1520380252994105,0.02207155055866757,0.06169295956062295,-0.11988604450805716,0.16275674921430452,0.05747987459806714,-0.17290480556139612,-0.15507385073267038,-0.1514866676852511,-0.11468698481015714
Flotation Column 02 Air Flow,0.546930146212535,0.13659888289433816,0.1367984031921971,0.18709757495512153,-0.17362917734948377,0.004735607018553832,0.8791386711059241,0.8666026494758631,-0.1283566629139942,-0.14178573841798378,-0.012247180970957153,0.1520380252994105,1.0,-0.1339962253441144,0.5194696938091117,0.060881253779380085,0.4651539511246699,-0.09219735717824534,-0.47738854887956494,-0.40750654990099966,-0.17157311466568903,-0.09565698158651395
Flotation Column 07 Level,-0.06491284712461154,0.040409878080395166,-0.1998788428753188,-0.05430932523099531,0.030098844188928435,0.03919081742405416,-0.09964114523240683,-0.1285205861382194,0.836013319470405,0.7453180060794388,0.03028713481594445,0.02207155055866757,-0.1339962253441144,1.0,-0.07177550277052802,-0.21067707351943454,-0.23460011358487035,0.7722516131326054,0.29062141884454157,0.32741425570111854,-0.16558870434822895,-0.0752758677710251
month,0.9843549690547635,-0.12288192829590193,0.059932542351332926,0.23479022376666076,-0.2732741578679145,-0.0007416588534676612,0.5768665235067624,0.5412863107019746,-0.030190411474997438,-0.041385727363271375,-0.001900064460131164,0.06169295956062295,0.5194696938091117,-0.07177550277052802,1.0,0.014509408659054677,0.4318237914370598,0.005961286171460658,-0.28700248615368473,-0.2676379628524115,-0.10232094429526657,-0.03647985910289628
Flotation Column 06 Level__std,0.03098683628327485,0.08647497997720455,0.0930912320065894,0.14011487570255318,-0.14874172297930582,-0.09804882628409141,0.011851209295929553,0.025986933386310435,-0.2163406099965643,-0.10103560279262802,-0.04563925774634385,-0.11988604450805716,0.060881253779380085,-0.21067707351943454,0.014509408659054677,1.0,-0.04267695455714806,-0.18028933139187103,0.029472990131067436,0.0011322728136772262,0.030291878975368905,-0.009844525094434594
Flotation Column 04 Air Flow,0.4402649372122681,0.034795416594597735,0.01828983468604657,0.17054645858880638,-0.1456702688666497,-0.0034373672280420446,0.5187195434240123,0.5028182634444843,-0.21856977006037753,-0.2688827848207752,0.0040870676926031135,0.16275674921430452,0.4651539511246699,-0.23460011358487035,0.4318237914370598,-0.04267695455714806,1.0,-0.18099943618620704,-0.331677072332053,-0.2582512347942831,-0.005289114122446006,0.016817687509252128
Flotation Column 04 Level,0.013340498673754484,0.043018422092741926,-0.21359937152690114,-0.04081541878718784,0.019308750690203526,0.014659123307947802,-0.05647846483800542,-0.07438557916418884,0.7877829982733026,0.6834720476649617,0.026764877134272304,0.05747987459806714,-0.09219735717824534,0.7722516131326054,0.005961286171460658,-0.18028933139187103,-0.18099943618620704,1.0,0.24603927361922343,0.3082849944308212,-0.17939591792938445,-0.07613940873395429
Flotation Column 02 Level,-0.30900915368792964,-0.12032183718303911,-0.23572336080755518,-0.040832465003981876,0.023017062042112287,-0.05450722883933084,-0.46745436767532783,-0.47203960425597463,0.3182541153732001,0.36230190698841686,0.015183235906194262,-0.17290480556139612,-0.47738854887956494,0.29062141884454157,-0.28700248615368473,0.029472990131067436,-0.331677072332053,0.24603927361922343,1.0,0.7236246935278916,0.034116041264660085,0.016271616332226735
Flotation Column 03 Level,-0.2822043286167786,-0.07819849163647015,-0.2900267179912907,-0.02468420366666858,0.016537598166191884,-0.046679023591156575,-0.3990814661375877,-0.40681800331840756,0.38136783852536627,0.38162060810227777,0.02894351180360374,-0.15507385073267038,-0.40750654990099966,0.32741425570111854,-0.2676379628524115,0.0011322728136772262,-0.2582512347942831,0.3082849944308212,0.7236246935278916,1.0,0.01584686145673212,-0.006602439370470439
% Silica Concentrate,-0.10941283453141756,-0.038601326028291735,0.17093805209385032,0.07278007117637608,-0.07711249041747821,0.009046397065503475,-0.22048047504710236,-0.22086949662650512,-0.19081992630859795,-0.12202154471488631,-0.0037027896190674056,-0.1514866676852511,-0.17157311466568903,-0.16558870434822895,-0.10232094429526657,0.030291878975368905,-0.005289114122446006,-0.17939591792938445,0.034116041264660085,0.01584686145673212,1.0,0.7455219751657115
high_silica_risk,-0.03701942001629015,-0.0019715426518798606,0.0609006645733186,0.08068508950924537,-0.075297011745769,0.0012092399237299512,-0.13702459404105316,-0.13552651530785068,-0.10819391887616013,-0.06299600510337243,-0.003514436688776344,-0.11468698481015714,-0.09565698158651395,-0.0752758677710251,-0.03647985910289628,-0.009844525094434594,0.016817687509252128,-0.07613940873395429,0.016271616332226735,-0.006602439370470439,0.7455219751657115,1.0
